,rho,mae,rmse,type,embedding,id
184,0.550269591,0.596568156,0.91162831,non,t2m+tp+svpd,11
195,0.65102539,0.549254757,0.766313291,non,t2m+tp+svpd,11
206,0.477263208,0.47320928,0.889303596,non,t2m+tp+svpd,11
217,0.742186086,0.454425859,0.667737307,non,t2m+tp+svpd,11
228,0.302204406,0.722068344,0.972696275,non,t2m+tp+svpd,11
239,0.644236855,0.56990579,0.769129596,non,t2m+tp+svpd,11
250,0.5912556,0.416805517,0.649652015,non,t2m+tp+svpd,11
261,0.523062616,0.642163119,0.848645915,non,t2m+tp+svpd,11
,0.473331594,0.598740894,0.904597295,ir_yr,t2m,1
,0.50107391,0.513091887,0.881648797,ir_yr,t2m,1
,0.754476803,0.418206059,0.665352878,ir_yr,t2m,1
,0.544983794,0.616697434,0.843136387,ir_yr,t2m,1
,0.673220629,0.562433331,0.746065015,ir_yr,t2m,1
,0.641277714,0.577997312,0.767673911,ir_yr,t2m,1
,0.677642621,0.512949829,0.746425599,ir_yr,t2m,1
,0.801127017,0.408291037,0.60646218,ir_yr,t2m,1
,0.807167013,0.310561655,0.602125831,ir_yr,t2m,1
,0.511060756,0.630649176,0.870050542,ir_yr,t2m,1
,0.536373364,0.477380438,0.855294112,ir_yr,t2m,1
,0.515642036,0.497765241,0.868086862,ir_yr,t2m,1
,0.34778754,0.537179643,0.945426964,ir_yr,t2m,1
,0.833233484,0.292451389,0.56134521,ir_yr,t2m,1
,0.425821089,0.717173935,0.859068268,ir_yr,t2m,1
,0.582422739,0.532335667,0.817559885,ir_yr,t2m,1
,0.582912525,0.509779022,0.816707468,ir_yr,t2m,1
,0.607536689,0.5602244,0.803893921,ir_yr,t2m,1
,0.646086329,0.346259505,0.769102185,ir_yr,t2m,1
,0.764468427,0.472872804,0.652169842,ir_yr,t2m,1
,0.373900979,0.622139869,0.946197026,ir_yr,t2m,1
,0.729301259,0.512575063,0.681021561,ir_yr,t2m,1
