country,id,cols,rho,mae,rmse
Peru,4,svpd,0.442804217,-0.320220806,-0.500026523
Philippines,4,svpd,0.536833373,-0.281494954,-0.306832028
Singapore,4,svpd,0.207737796,-0.230332402,-0.297639203
Sri Lanka,4,svpd,-0.041884744,-0.007945363,0.032468281
Thailand,4,svpd,0.300755566,-0.267428697,-0.313015379
Venezuela,4,svpd,0.274835774,-0.152891829,-0.138925096
Vietnam,4,svpd,0.137513101,-0.075373928,-0.113487055
Belize,5,t2m+tp,-0.007689242,-0.126782886,-0.315440217
Bolivia,5,t2m+tp,0.418456878,-0.251387041,-0.353796697
Brazil,5,t2m+tp,0.383514853,-0.232807477,-0.397305095
Cambodia,5,t2m+tp,0.85615922,-0.52109962,-0.747430375
Colombia,5,t2m+tp,0.091284598,-0.129444668,-0.141403067
Costa Rica,5,t2m+tp,0.2859168,-0.159989758,-0.275994127
Dominican Republic,5,t2m+tp,0.394025795,-0.183380748,-0.490281855
Ecuador,5,t2m+tp,0.418996329,-0.279243089,-0.412424557
El Salvador,5,t2m+tp,0.197881298,-0.073590755,-0.212682907
Guatemala,5,t2m+tp,0.241664761,-0.079633558,-0.177487835
Honduras,5,t2m+tp,0.235634886,-0.114695413,-0.251171405
Jamaica,5,t2m+tp,-0.285190443,-0.001428193,-0.033957798
Laos,5,t2m+tp,0.157708827,-0.131185363,-0.181439738
Malaysia,5,t2m+tp,-0.009173384,-0.065195928,-0.103886933
Mexico,5,t2m+tp,0.454260424,-0.340730336,-0.385364189
Nicaragua,5,t2m+tp,0.288647844,-0.306629079,-0.450552416
Panama,5,t2m+tp,0.571918196,-0.369224158,-0.47424382
Peru,5,t2m+tp,0.44915373,-0.358081973,-0.506293844
Philippines,5,t2m+tp,0.631991039,-0.391156836,-0.422165968
Singapore,5,t2m+tp,0.219803049,-0.241030391,-0.31337696
Sri Lanka,5,t2m+tp,-0.083755707,0.001352791,0.037173982
Thailand,5,t2m+tp,0.430541676,-0.384132196,-0.4768183
Venezuela,5,t2m+tp,0.405567978,-0.146398879,-0.225807037
Vietnam,5,t2m+tp,0.127953814,-0.092410761,-0.132850234
Belize,6,t2m+rh,0.222118856,-0.129273109,-0.398022108
Bolivia,6,t2m+rh,0.557807268,-0.330272881,-0.449904255
Brazil,6,t2m+rh,0.314093667,-0.178682459,-0.319214725
Cambodia,6,t2m+rh,0.821382449,-0.500975019,-0.697127032
Colombia,6,t2m+rh,0.102930345,-0.106538086,-0.154705841
Costa Rica,6,t2m+rh,0.306267995,-0.184543297,-0.285214097
Dominican Republic,6,t2m+rh,0.39329361,-0.252950573,-0.482298435
Ecuador,6,t2m+rh,0.321594904,-0.270718229,-0.35175107
El Salvador,6,t2m+rh,0.197669842,-0.056565384,-0.216233162
Guatemala,6,t2m+rh,0.29931634,-0.113261744,-0.204911283
Honduras,6,t2m+rh,0.537136654,-0.176549317,-0.3857523
Jamaica,6,t2m+rh,-0.042596177,0.035898702,-0.006171404
Laos,6,t2m+rh,0.111366305,-0.118785845,-0.152992786
Malaysia,6,t2m+rh,0.103883014,-0.12362452,-0.151796811
Mexico,6,t2m+rh,0.358393905,-0.291247167,-0.29001975
Nicaragua,6,t2m+rh,0.305863103,-0.347184176,-0.465904716
Panama,6,t2m+rh,0.584307769,-0.368623827,-0.499050437
Peru,6,t2m+rh,0.415588526,-0.31313476,-0.478449694
Philippines,6,t2m+rh,0.589376999,-0.363985382,-0.380138327
Singapore,6,t2m+rh,0.229881604,-0.23813995,-0.321909221
Sri Lanka,6,t2m+rh,-0.081284643,0.002140809,0.01614602
Thailand,6,t2m+rh,0.415763929,-0.393481362,-0.458308793
Venezuela,6,t2m+rh,0.380185948,-0.199899997,-0.21853574
Vietnam,6,t2m+rh,0.178594344,-0.112571458,-0.170291772
Belize,7,t2m+svpd,0.108328924,-0.138159641,-0.331240889
Bolivia,7,t2m+svpd,0.353270902,-0.25195081,-0.318342078
Brazil,7,t2m+svpd,0.251953355,-0.168888488,-0.259214845
Cambodia,7,t2m+svpd,0.832882576,-0.521539133,-0.709706398
Colombia,7,t2m+svpd,0.114904035,-0.133748254,-0.178301552
Costa Rica,7,t2m+svpd,0.306310779,-0.239853115,-0.29698274
Dominican Republic,7,t2m+svpd,0.385131583,-0.239823709,-0.476816847
Ecuador,7,t2m+svpd,0.273894815,-0.236982842,-0.321285022
El Salvador,7,t2m+svpd,0.136893811,-0.003630061,-0.150837246
Guatemala,7,t2m+svpd,0.23148231,-0.05865146,-0.15561032
Honduras,7,t2m+svpd,0.329140095,-0.166132182,-0.278650903
Jamaica,7,t2m+svpd,-0.07807029,-0.037690567,-0.025242635
Laos,7,t2m+svpd,0.22243914,-0.142344481,-0.230015565
Malaysia,7,t2m+svpd,0.22760805,-0.181646154,-0.229283823
Mexico,7,t2m+svpd,0.356255516,-0.258848867,-0.288754701
Nicaragua,7,t2m+svpd,0.290466224,-0.30021499,-0.457768365
Panama,7,t2m+svpd,0.59243267,-0.376210271,-0.50627508
Peru,7,t2m+svpd,0.459220875,-0.352863688,-0.515904789
Philippines,7,t2m+svpd,0.566463375,-0.315216596,-0.34015912
Singapore,7,t2m+svpd,0.226780819,-0.230365383,-0.319683437
Sri Lanka,7,t2m+svpd,-0.047845362,-0.041743945,0.017470026
Thailand,7,t2m+svpd,0.487498839,-0.446424954,-0.560822718
Venezuela,7,t2m+svpd,0.205255101,-0.120624363,-0.109717398
Vietnam,7,t2m+svpd,0.199418547,-0.135804984,-0.195210504
Belize,8,tp+rh,0.04470154,-0.10072499,-0.271923544
Bolivia,8,tp+rh,0.577781855,-0.299373774,-0.452705802
Brazil,8,tp+rh,0.426948378,-0.277882103,-0.453236294
Cambodia,8,tp+rh,0.455843181,-0.238226489,-0.382105844
Colombia,8,tp+rh,0.095764555,-0.106502866,-0.141124097
Costa Rica,8,tp+rh,0.38940499,-0.242144573,-0.379785791
Dominican Republic,8,tp+rh,0.374288612,-0.188848761,-0.456159097
Ecuador,8,tp+rh,0.270437919,-0.188369927,-0.30622554
El Salvador,8,tp+rh,0.278274631,-0.119321081,-0.299141978
Guatemala,8,tp+rh,0.03104431,0.012372066,0.008803297
Honduras,8,tp+rh,0.199550583,-0.097698915,-0.231880069
Jamaica,8,tp+rh,-0.256556935,-0.005197525,-0.042304444
Laos,8,tp+rh,0.168231913,-0.137972838,-0.177302956
Malaysia,8,tp+rh,0.037582893,-0.097628411,-0.130726688
Mexico,8,tp+rh,0.487685455,-0.351925747,-0.430078176
Nicaragua,8,tp+rh,0.152475245,-0.259234426,-0.380667258
Panama,8,tp+rh,0.605293826,-0.371034426,-0.519298636
Peru,8,tp+rh,0.443633934,-0.347378227,-0.507887365
