"","country","time","Observations","pred.plus","Pred_Variance.x","Const_Predictions.x","pred.minus","Pred_Variance.y","Const_Predictions.y","delta","Driver","delta_trans"
"1","Mexico",12,-0.406825446576831,NA,NA,NA,NA,NA,NA,NA,"Temperature",NA
"2","Mexico",13,-0.497094145200942,NA,NA,NA,NA,NA,NA,NA,"Temperature",NA
"3","Mexico",14,-0.62726353384038,-0.640993414724041,0.787445488857351,-0.406825446576831,-0.635574998164261,0.782456594975395,-0.406825446576831,-0.508034243309363,"Temperature",-6.20178590638721
"4","Mexico",15,-0.535815419036724,-0.58607005235695,0.722355641579937,-0.497094145200942,-0.583449834085773,0.723670146520082,-0.497094145200942,-0.245673360845597,"Temperature",-2.99903718486001
"5","Mexico",16,-0.315906334618412,-0.123636137335106,0.717303167490219,-0.62726353384038,-0.123059563258706,0.718799584753561,-0.62726353384038,-0.0540599585476284,"Temperature",-0.659932462104527
"6","Mexico",17,-0.0931614480625186,-0.404040050859276,0.643036972670716,-0.535815419036724,-0.401122555991061,0.64232310528403,-0.535815419036724,-0.273546206973926,"Temperature",-3.33929264316051
"7","Mexico",18,0.406997733842274,0.164899666638362,0.902105326753959,-0.315906334618412,0.170354405104479,0.902214866459878,-0.315906334618412,-0.5114398087542,"Temperature",-6.24335906421509
"8","Mexico",19,1.17387841587995,0.6881118508635,1.35717225812452,-0.0931614480625186,0.687365364633017,1.35652944655495,-0.0931614480625186,0.0699910320773897,"Temperature",0.854409721446134
"9","Mexico",20,1.73445666045303,0.783668803341523,1.50371550157768,0.406997733842274,0.786598139572943,1.50667778222649,0.406997733842274,-0.274656460851465,"Temperature",-3.35284597532446
"10","Mexico",21,1.585867566186,1.17704303582051,2.07660137097134,1.17387841587995,1.18495795472672,2.09221253449511,1.17387841587995,-0.742107918984748,"Temperature",-9.05922089620909
"11","Mexico",22,1.65667589784762,1.80837935145884,3.57263822398836,1.73445666045303,1.81707200890318,3.6020419729531,1.73445666045303,-0.815029187652618,"Temperature",-9.9494012379009
"12","Mexico",23,0.753720074094996,0.971199566831103,1.74732193911377,1.585867566186,0.978716101505135,1.75897997153742,1.585867566186,-0.704755155551474,"Temperature",-8.60324013334536
"13","Mexico",24,-0.414613062232941,0.176753580638356,1.10321816252011,1.65667589784762,0.182572471137962,1.10201181643034,1.65667589784762,-0.545582939084135,"Temperature",-6.6601584970659
"14","Mexico",25,-0.526033202488737,-0.431988998022939,1.07876464806072,0.753720074094996,-0.425801499659335,1.06826087973529,0.753720074094996,-0.580143850966431,"Temperature",-7.08205796358078
"15","Mexico",26,-0.34138519296769,-0.673616761989886,1.04219367980039,-0.414613062232941,-0.670991649794139,1.0339385676419,-0.414613062232941,-0.246132218380489,"Temperature",-3.00463865017541
"16","Mexico",27,-0.475621832990999,-0.707826183446403,0.976875551321701,-0.526033202488737,-0.708458584287736,0.976803709691639,-0.526033202488737,0.0592943121574682,"Temperature",0.723830399840161
"17","Mexico",28,-0.577225067987644,-0.404621245544285,0.795707791205632,-0.34138519296769,-0.405643493250739,0.797834884155951,-0.34138519296769,0.0958466065304816,"Temperature",1.170039503014
