date,Year,Month,Cases,Hemisphere,model,country,facet
2015/7/1,2015,7,-0.426200692,S,obs,Brazil,S-obs
2015/8/1,2015,8,-0.523053944,S,obs,Brazil,S-obs
2015/9/1,2015,9,-0.535880307,S,obs,Brazil,S-obs
2015/10/1,2015,10,-0.477901042,S,obs,Brazil,S-obs
2015/11/1,2015,11,-0.252713083,S,obs,Brazil,S-obs
2015/12/1,2015,12,-0.416067549,S,obs,Brazil,S-obs
2016/1/1,2016,1,1.043065439,S,obs,Brazil,S-obs
2016/2/1,2016,2,2.357933442,S,obs,Brazil,S-obs
2016/3/1,2016,3,2.38987298,S,obs,Brazil,S-obs
2016/4/1,2016,4,1.452719235,S,obs,Brazil,S-obs
2016/5/1,2016,5,0.089547024,S,obs,Brazil,S-obs
2016/6/1,2016,6,-0.460019955,S,obs,Brazil,S-obs
2016/7/1,2016,7,-0.590850431,S,obs,Brazil,S-obs
2016/8/1,2016,8,-0.633807688,S,obs,Brazil,S-obs
2016/9/1,2016,9,-0.650385603,S,obs,Brazil,S-obs
2016/10/1,2016,10,-0.629771807,S,obs,Brazil,S-obs
2016/11/1,2016,11,-0.700537944,S,obs,Brazil,S-obs
2016/12/1,2016,12,-0.458835254,S,obs,Brazil,S-obs
2017/1/1,2017,1,-0.523440946,S,obs,Brazil,S-obs
2017/2/1,2017,2,-0.481407756,S,obs,Brazil,S-obs
2017/3/1,2017,3,-0.419605856,S,obs,Brazil,S-obs
2017/4/1,2017,4,-0.396488392,S,obs,Brazil,S-obs
2017/5/1,2017,5,-0.43916132,S,obs,Brazil,S-obs
2017/6/1,2017,6,-0.540326884,S,obs,Brazil,S-obs
2017/7/1,2017,7,-0.619946687,S,obs,Brazil,S-obs
2017/8/1,2017,8,-0.650693626,S,obs,Brazil,S-obs
2017/9/1,2017,9,-0.662524839,S,obs,Brazil,S-obs
2017/10/1,2017,10,-0.653789644,S,obs,Brazil,S-obs
2017/11/1,2017,11,-0.64183996,S,obs,Brazil,S-obs
2017/12/1,2017,12,-0.615010433,S,obs,Brazil,S-obs
2018/1/1,2018,1,-0.536061961,S,obs,Brazil,S-obs
2018/2/1,2018,2,-0.563799759,S,obs,Brazil,S-obs
2018/3/1,2018,3,-0.4760845,S,obs,Brazil,S-obs
2018/4/1,2018,4,-0.42473956,S,obs,Brazil,S-obs
2018/5/1,2018,5,-0.409417428,S,obs,Brazil,S-obs
2018/6/1,2018,6,-0.546819045,S,obs,Brazil,S-obs
2018/7/1,2018,7,-0.578363683,S,obs,Brazil,S-obs
2018/8/1,2018,8,-0.647171115,S,obs,Brazil,S-obs
2018/9/1,2018,9,-0.651570304,S,obs,Brazil,S-obs
2018/10/1,2018,10,-0.600422815,S,obs,Brazil,S-obs
2018/11/1,2018,11,-0.576128547,S,obs,Brazil,S-obs
2018/12/1,2018,12,-0.486912667,S,obs,Brazil,S-obs
2019/1/1,2019,1,0.167216019,S,obs,Brazil,S-obs
2019/2/1,2019,2,0.902228189,S,obs,Brazil,S-obs
2019/3/1,2019,3,1.931370015,S,obs,Brazil,S-obs
2019/4/1,2019,4,2.620802789,S,obs,Brazil,S-obs
2019/5/1,2019,5,3.583048501,S,obs,Brazil,S-obs
2019/6/1,2019,6,1.09884116,S,obs,Brazil,S-obs
2019/7/1,2019,7,0.015906013,S,obs,Brazil,S-obs
2019/8/1,2019,8,-0.29828458,S,obs,Brazil,S-obs
2019/9/1,2019,9,-0.388005933,S,obs,Brazil,S-obs
2019/10/1,2019,10,-0.391575832,S,obs,Brazil,S-obs
2019/11/1,2019,11,-0.353610115,S,obs,Brazil,S-obs
2019/12/1,2019,12,-0.180564795,S,obs,Brazil,S-obs
2014/4/1,2014,4,-0.80604681,N,obs,Cambodia,N-obs
2014/5/1,2014,5,-0.637105148,N,obs,Cambodia,N-obs
2014/6/1,2014,6,-0.513577912,N,obs,Cambodia,N-obs
2014/7/1,2014,7,-0.421840773,N,obs,Cambodia,N-obs
2014/8/1,2014,8,-0.329195346,N,obs,Cambodia,N-obs
2014/9/1,2014,9,-0.544459721,N,obs,Cambodia,N-obs
2014/10/1,2014,10,-0.590782435,N,obs,Cambodia,N-obs
2014/11/1,2014,11,-0.637105148,N,obs,Cambodia,N-obs
2014/12/1,2014,12,-0.697960478,N,obs,Cambodia,N-obs
2015/1/1,2015,1,-0.775165001,N,obs,Cambodia,N-obs
2015/2/1,2015,2,-0.83602033,N,obs,Cambodia,N-obs
2015/3/1,2015,3,-0.80604681,N,obs,Cambodia,N-obs
2015/4/1,2015,4,-0.744283192,N,obs,Cambodia,N-obs
2015/5/1,2015,5,-0.406399869,N,obs,Cambodia,N-obs
2015/6/1,2015,6,0.177629638,N,obs,Cambodia,N-obs
2015/7/1,2015,7,1.514630314,N,obs,Cambodia,N-obs
2015/8/1,2015,8,2.391128719,N,obs,Cambodia,N-obs
2015/9/1,2015,9,1.653598455,N,obs,Cambodia,N-obs
2015/10/1,2015,10,0.746218241,N,obs,Cambodia,N-obs
2015/11/1,2015,11,0.223952352,N,obs,Cambodia,N-obs
2015/12/1,2015,12,-0.206576398,N,obs,Cambodia,N-obs
2016/1/1,2016,1,-0.451814294,N,obs,Cambodia,N-obs
2016/2/1,2016,2,-0.637105148,N,obs,Cambodia,N-obs
2016/3/1,2016,3,-0.57534153,N,obs,Cambodia,N-obs
2016/4/1,2016,4,-0.621664244,N,obs,Cambodia,N-obs
2016/5/1,2016,5,-0.513577912,N,obs,Cambodia,N-obs
2016/6/1,2016,6,0.485539441,N,obs,Cambodia,N-obs
2016/7/1,2016,7,1.576393932,N,obs,Cambodia,N-obs
2016/8/1,2016,8,1.653598455,N,obs,Cambodia,N-obs
2016/9/1,2016,9,0.54639477,N,obs,Cambodia,N-obs
2016/10/1,2016,10,0.146747829,N,obs,Cambodia,N-obs
2016/11/1,2016,11,-0.344636251,N,obs,Cambodia,N-obs
2016/12/1,2016,12,-0.667078669,N,obs,Cambodia,N-obs
2017/1/1,2017,1,-0.884159621,N,obs,Cambodia,N-obs
2017/2/1,2017,2,-0.886884487,N,obs,Cambodia,N-obs
2017/3/1,2017,3,-0.881434756,N,obs,Cambodia,N-obs
2017/4/1,2017,4,-0.844194927,N,obs,Cambodia,N-obs
2017/5/1,2017,5,-0.779706443,N,obs,Cambodia,N-obs
2017/6/1,2017,6,-0.488145834,N,obs,Cambodia,N-obs
2017/7/1,2017,7,-0.388234099,N,obs,Cambodia,N-obs
2017/8/1,2017,8,-0.420024196,N,obs,Cambodia,N-obs
2017/9/1,2017,9,-0.513577912,N,obs,Cambodia,N-obs
2017/10/1,2017,10,-0.598957031,N,obs,Cambodia,N-obs
2017/11/1,2017,11,-0.767898693,N,obs,Cambodia,N-obs
2017/12/1,2017,12,-0.809679964,N,obs,Cambodia,N-obs
2018/1/1,2018,1,-0.863268985,N,obs,Cambodia,N-obs
2018/2/1,2018,2,-0.856002677,N,obs,Cambodia,N-obs
2018/3/1,2018,3,-0.79968879,N,obs,Cambodia,N-obs
2018/4/1,2018,4,-0.732475441,N,obs,Cambodia,N-obs
2018/5/1,2018,5,-0.382784368,N,obs,Cambodia,N-obs
2018/6/1,2018,6,0.422867534,N,obs,Cambodia,N-obs
2018/7/1,2018,7,-0.547184587,N,obs,Cambodia,N-obs
2018/8/1,2018,8,-0.546276298,N,obs,Cambodia,N-obs
