,Driver,mean,mean_95_low,mean_95_up,p_val_wilcox,p_val_ttest
1,Temperature,7.354207393,6.499313622,8.209101164,8.47E-102,2.40E-58
2,Precipitation,0.011127895,0.001863218,0.020392572,1.67E-07,0.01869774
3,Relative humidity,-0.014763964,-0.025927439,-0.003600488,2.09E-09,0.009634555
