old_time,date,country,cases,month,time,time_yr,time_14
2018.32512,2018/4/30,Cambodia,216,4,1946,1580,1581
2018.409993,2018/5/31,Cambodia,601,5,1977,1611,1612
2018.492129,2018/6/30,Cambodia,1488,6,2007,1641,1642
2018.577002,2018/7/31,Cambodia,420,7,2038,1672,1673
2018.661875,2018/8/31,Cambodia,421,8,2069,1703,1704
2018.744011,2018/9/30,Cambodia,1139,9,2099,1733,1734
2018.828884,2018/10/31,Cambodia,984,10,2130,1764,1765
2018.91102,2018/11/30,Cambodia,394,11,2160,1794,1795
2018.995893,2018/12/31,Cambodia,553,12,2191,1825,1826
2019.080767,2019/1/31,Cambodia,1944,1,2222,1856,1857
2019.157426,2019/2/28,Cambodia,1745,2,2250,1884,1885
2019.2423,2019/3/31,Cambodia,2167,3,2281,1915,1916
2019.324435,2019/4/30,Cambodia,3258,4,2311,1945,1946
2019.409309,2019/5/31,Cambodia,822,5,2342,1976,1977
2019.491444,2019/6/30,Cambodia,2490,6,2372,2006,2007
2019.576318,2019/7/31,Cambodia,4467,7,2403,2037,2038
2019.661191,2019/8/31,Cambodia,3105,8,2434,2068,2069
2019.743326,2019/9/30,Cambodia,4588,9,2464,2098,2099
2019.8282,2019/10/31,Cambodia,1801,10,2495,2129,2130
2019.910335,2019/11/30,Cambodia,1404,11,2525,2159,2160
2019.995209,2019/12/31,Cambodia,1149,12,2556,2190,2191
2014.081451,2014/1/31,Colombia,11802,1,396,30,31
2014.158111,2014/2/28,Colombia,7916,2,424,58,59
2014.242984,2014/3/31,Colombia,8142,3,455,89,90
2014.32512,2014/4/30,Colombia,8038,4,485,119,120
2014.409993,2014/5/31,Colombia,8139,5,516,150,151
2014.492129,2014/6/30,Colombia,8310,6,546,180,181
2014.577002,2014/7/31,Colombia,9344,7,577,211,212
2014.661875,2014/8/31,Colombia,7722,8,608,242,243
2014.744011,2014/9/30,Colombia,8964,9,638,272,273
2014.828884,2014/10/31,Colombia,10002,10,669,303,304
2014.91102,2014/11/30,Colombia,8782,11,699,333,334
2014.995893,2014/12/31,Colombia,10580,12,730,364,365
2015.080767,2015/1/31,Colombia,10361,1,761,395,396
2015.157426,2015/2/28,Colombia,8138,2,789,423,424
2015.2423,2015/3/31,Colombia,8345,3,820,454,455
2015.324435,2015/4/30,Colombia,8068,4,850,484,485
2015.409309,2015/5/31,Colombia,7766,5,881,515,516
2015.491444,2015/6/30,Colombia,6560,6,911,545,546
2015.576318,2015/7/31,Colombia,6263,7,942,576,577
2015.661191,2015/8/31,Colombia,6186,8,973,607,608
2015.743326,2015/9/30,Colombia,7277,9,1003,637,638
2015.8282,2015/10/31,Colombia,8539,10,1034,668,669
2015.910335,2015/11/30,Colombia,9728,11,1064,698,699
2015.995209,2015/12/31,Colombia,9212,12,1095,729,730
2016.080082,2016/1/31,Colombia,12403,1,1126,760,761
2016.15948,2016/2/29,Colombia,12584,2,1155,789,790
2016.244353,2016/3/31,Colombia,11319,3,1186,820,821
