old_time,date,country,cases,month,time,time_yr,time_14
2015.995209,2015/12/31,Bolivia,1647,12,1095,729,730
2016.080082,2016/1/31,Bolivia,5855,1,1126,760,761
2016.15948,2016/2/29,Bolivia,9208,2,1155,789,790
2016.244353,2016/3/31,Bolivia,7480,3,1186,820,821
2016.326489,2016/4/30,Bolivia,4861,4,1216,850,851
2016.411362,2016/5/31,Bolivia,1221,5,1247,881,882
2016.493498,2016/6/30,Bolivia,345,6,1277,911,912
2016.578371,2016/7/31,Bolivia,213,7,1308,942,943
2016.663244,2016/8/31,Bolivia,180,8,1339,973,974
2016.74538,2016/9/30,Bolivia,173,9,1369,1003,1004
2016.830253,2016/10/31,Bolivia,357,10,1400,1034,1035
2016.912389,2016/11/30,Bolivia,1080,11,1430,1064,1065
2016.997262,2016/12/31,Bolivia,1414,12,1461,1095,1096
2017.082136,2017/1/31,Bolivia,1202,1,1492,1126,1127
2017.158795,2017/2/28,Bolivia,1558,2,1520,1154,1155
2017.243669,2017/3/31,Bolivia,2455,3,1551,1185,1186
2017.325804,2017/4/30,Bolivia,2099,4,1581,1215,1216
2017.410678,2017/5/31,Bolivia,996,5,1612,1246,1247
2017.492813,2017/6/30,Bolivia,264,6,1642,1276,1277
2017.577687,2017/7/31,Bolivia,211,7,1673,1307,1308
2017.66256,2017/8/31,Bolivia,217,8,1704,1338,1339
2017.744695,2017/9/30,Bolivia,181,9,1734,1368,1369
2017.829569,2017/10/31,Bolivia,163,10,1765,1399,1400
2017.911704,2017/11/30,Bolivia,280,11,1795,1429,1430
2017.996578,2017/12/31,Bolivia,316,12,1826,1460,1461
2018.081451,2018/1/31,Bolivia,450,1,1857,1491,1492
2018.158111,2018/2/28,Bolivia,851,2,1885,1519,1520
2018.242984,2018/3/31,Bolivia,1202,3,1916,1550,1551
2018.32512,2018/4/30,Bolivia,1150,4,1946,1580,1581
2018.409993,2018/5/31,Bolivia,943,5,1977,1611,1612
2018.492129,2018/6/30,Bolivia,160,6,2007,1641,1642
2018.577002,2018/7/31,Bolivia,135,7,2038,1672,1673
2018.661875,2018/8/31,Bolivia,114,8,2069,1703,1704
2018.744011,2018/9/30,Bolivia,134,9,2099,1733,1734
2018.828884,2018/10/31,Bolivia,276,10,2130,1764,1765
2018.91102,2018/11/30,Bolivia,686,11,2160,1794,1795
2018.995893,2018/12/31,Bolivia,1626,12,2191,1825,1826
2019.080767,2019/1/31,Bolivia,1503,1,2222,1856,1857
2019.157426,2019/2/28,Bolivia,800,2,2250,1884,1885
2019.2423,2019/3/31,Bolivia,1879,3,2281,1915,1916
2019.324435,2019/4/30,Bolivia,1449,4,2311,1945,1946
2019.409309,2019/5/31,Bolivia,1555,5,2342,1976,1977
2019.491444,2019/6/30,Bolivia,958,6,2372,2006,2007
2019.576318,2019/7/31,Bolivia,652,7,2403,2037,2038
2019.661191,2019/8/31,Bolivia,597,8,2434,2068,2069
2019.743326,2019/9/30,Bolivia,603,9,2464,2098,2099
2019.8282,2019/10/31,Bolivia,1185,10,2495,2129,2130
2019.910335,2019/11/30,Bolivia,1489,11,2525,2159,2160
2019.995209,2019/12/31,Bolivia,3075,12,2556,2190,2191
2014.081451,2014/1/31,Brazil,35578,1,396,30,31
2014.158111,2014/2/28,Brazil,49418,2,424,58,59
2014.242984,2014/3/31,Brazil,84961,3,455,89,90
2014.32512,2014/4/30,Brazil,147883,4,485,119,120
2014.409993,2014/5/31,Brazil,113295,5,516,150,151
2014.492129,2014/6/30,Brazil,45152,6,546,180,181
2014.577002,2014/7/31,Brazil,23528,7,577,211,212
2014.661875,2014/8/31,Brazil,15381,8,608,242,243
2014.744011,2014/9/30,Brazil,19817,9,638,272,273
2014.828884,2014/10/31,Brazil,22267,10,669,303,304
2014.91102,2014/11/30,Brazil,22769,11,699,333,334
2014.995893,2014/12/31,Brazil,10959,12,730,364,365
2015.080767,2015/1/31,Brazil,116451,1,761,395,396
2015.157426,2015/2/28,Brazil,221294,2,789,423,424
2015.2423,2015/3/31,Brazil,411530,3,820,454,455
2015.324435,2015/4/30,Brazil,392415,4,850,484,485
2015.409309,2015/5/31,Brazil,213886,5,881,515,516
2015.491444,2015/6/30,Brazil,79546,6,911,545,546
2015.576318,2015/7/31,Brazil,37223,7,942,576,577
2015.661191,2015/8/31,Brazil,24960,8,973,607,608
2015.743326,2015/9/30,Brazil,23336,9,1003,637,638
2015.8282,2015/10/31,Brazil,30677,10,1034,668,669
2015.910335,2015/11/30,Brazil,59189,11,1064,698,699
2015.995209,2015/12/31,Brazil,38506,12,1095,729,730
2016.080082,2016/1/31,Brazil,223253,1,1126,760,761
2016.15948,2016/2/29,Brazil,389734,2,1155,789,790
2016.244353,2016/3/31,Brazil,393778,3,1186,820,821
2016.326489,2016/4/30,Brazil,275121,4,1216,850,851
2016.411362,2016/5/31,Brazil,102524,5,1247,881,882
2016.493498,2016/6/30,Brazil,32941,6,1277,911,912
2016.578371,2016/7/31,Brazil,16376,7,1308,942,943
2016.663244,2016/8/31,Brazil,10937,8,1339,973,974
2016.74538,2016/9/30,Brazil,8838,9,1369,1003,1004
2016.830253,2016/10/31,Brazil,11448,10,1400,1034,1035
2016.912389,2016/11/30,Brazil,2488,11,1430,1064,1065
2016.997262,2016/12/31,Brazil,33091,12,1461,1095,1096
2017.082136,2017/1/31,Brazil,24911,1,1492,1126,1127
2017.158795,2017/2/28,Brazil,30233,2,1520,1154,1155
2017.243669,2017/3/31,Brazil,38058,3,1551,1185,1186
2017.325804,2017/4/30,Brazil,40985,4,1581,1215,1216
2017.410678,2017/5/31,Brazil,35582,5,1612,1246,1247
2017.492813,2017/6/30,Brazil,22773,6,1642,1276,1277
2017.577687,2017/7/31,Brazil,12692,7,1673,1307,1308
2017.66256,2017/8/31,Brazil,8799,8,1704,1338,1339
2017.744695,2017/9/30,Brazil,7301,9,1734,1368,1369
2017.829569,2017/10/31,Brazil,8407,10,1765,1399,1400
2017.911704,2017/11/30,Brazil,9920,11,1795,1429,1430
2017.996578,2017/12/31,Brazil,13317,12,1826,1460,1461
2018.081451,2018/1/31,Brazil,23313,1,1857,1491,1492
2018.158111,2018/2/28,Brazil,19801,2,1885,1519,1520
2018.242984,2018/3/31,Brazil,30907,3,1916,1550,1551
2018.32512,2018/4/30,Brazil,37408,4,1946,1580,1581
2018.409993,2018/5/31,Brazil,39348,5,1977,1611,1612
2018.492129,2018/6/30,Brazil,21951,6,2007,1641,1642
2018.577002,2018/7/31,Brazil,17957,7,2038,1672,1673
2018.661875,2018/8/31,Brazil,9245,8,2069,1703,1704
2018.744011,2018/9/30,Brazil,8688,9,2099,1733,1734
2018.828884,2018/10/31,Brazil,15164,10,2130,1764,1765
2018.91102,2018/11/30,Brazil,18240,11,2160,1794,1795
2018.995893,2018/12/31,Brazil,29536,12,2191,1825,1826
2019.080767,2019/1/31,Brazil,112358,1,2222,1856,1857
2019.157426,2019/2/28,Brazil,205421,2,2250,1884,1885
2019.2423,2019/3/31,Brazil,335725,3,2281,1915,1916
2019.324435,2019/4/30,Brazil,423017,4,2311,1945,1946
2019.409309,2019/5/31,Brazil,544851,5,2342,1976,1977
2019.491444,2019/6/30,Brazil,230315,6,2372,2006,2007
2019.576318,2019/7/31,Brazil,93200,7,2403,2037,2038
2019.661191,2019/8/31,Brazil,53419,8,2434,2068,2069
2019.743326,2019/9/30,Brazil,42059,9,2464,2098,2099
2019.8282,2019/10/31,Brazil,41607,10,2495,2129,2130
2019.910335,2019/11/30,Brazil,46414,11,2525,2159,2160
2019.995209,2019/12/31,Brazil,68324,12,2556,2190,2191
2014.081451,2014/1/31,Cambodia,85,1,396,30,31
2014.158111,2014/2/28,Cambodia,51,2,424,58,59
2014.242984,2014/3/31,Cambodia,85,3,455,89,90
2014.32512,2014/4/30,Cambodia,135,4,485,119,120
2014.409993,2014/5/31,Cambodia,321,5,516,150,151
2014.492129,2014/6/30,Cambodia,457,6,546,180,181
2014.577002,2014/7/31,Cambodia,558,7,577,211,212
2014.661875,2014/8/31,Cambodia,660,8,608,242,243
2014.744011,2014/9/30,Cambodia,423,9,638,272,273
2014.828884,2014/10/31,Cambodia,372,10,669,303,304
2014.91102,2014/11/30,Cambodia,321,11,699,333,334
2014.995893,2014/12/31,Cambodia,254,12,730,364,365
2015.080767,2015/1/31,Cambodia,169,1,761,395,396
2015.157426,2015/2/28,Cambodia,102,2,789,423,424
2015.2423,2015/3/31,Cambodia,135,3,820,454,455
2015.324435,2015/4/30,Cambodia,203,4,850,484,485
2015.409309,2015/5/31,Cambodia,575,5,881,515,516
2015.491444,2015/6/30,Cambodia,1218,6,911,545,546
2015.576318,2015/7/31,Cambodia,2690,7,942,576,577
2015.661191,2015/8/31,Cambodia,3655,8,973,607,608
2015.743326,2015/9/30,Cambodia,2843,9,1003,637,638
2015.8282,2015/10/31,Cambodia,1844,10,1034,668,669
2015.910335,2015/11/30,Cambodia,1269,11,1064,698,699
2015.995209,2015/12/31,Cambodia,795,12,1095,729,730
2016.080082,2016/1/31,Cambodia,525,1,1126,760,761
2016.15948,2016/2/29,Cambodia,321,2,1155,789,790
2016.244353,2016/3/31,Cambodia,389,3,1186,820,821
2016.326489,2016/4/30,Cambodia,338,4,1216,850,851
2016.411362,2016/5/31,Cambodia,457,5,1247,881,882
2016.493498,2016/6/30,Cambodia,1557,6,1277,911,912
2016.578371,2016/7/31,Cambodia,2758,7,1308,942,943
2016.663244,2016/8/31,Cambodia,2843,8,1339,973,974
2016.74538,2016/9/30,Cambodia,1624,9,1369,1003,1004
2016.830253,2016/10/31,Cambodia,1184,10,1400,1034,1035
2016.912389,2016/11/30,Cambodia,643,11,1430,1064,1065
2016.997262,2016/12/31,Cambodia,288,12,1461,1095,1096
2017.082136,2017/1/31,Cambodia,49,1,1492,1126,1127
2017.158795,2017/2/28,Cambodia,46,2,1520,1154,1155
2017.243669,2017/3/31,Cambodia,52,3,1551,1185,1186
2017.325804,2017/4/30,Cambodia,93,4,1581,1215,1216
2017.410678,2017/5/31,Cambodia,164,5,1612,1246,1247
2017.492813,2017/6/30,Cambodia,485,6,1642,1276,1277
2017.577687,2017/7/31,Cambodia,595,7,1673,1307,1308
2017.66256,2017/8/31,Cambodia,560,8,1704,1338,1339
2017.744695,2017/9/30,Cambodia,457,9,1734,1368,1369
2017.829569,2017/10/31,Cambodia,363,10,1765,1399,1400
2017.911704,2017/11/30,Cambodia,177,11,1795,1429,1430
2017.996578,2017/12/31,Cambodia,131,12,1826,1460,1461
2018.081451,2018/1/31,Cambodia,72,1,1857,1491,1492
2018.158111,2018/2/28,Cambodia,80,2,1885,1519,1520
2018.242984,2018/3/31,Cambodia,142,3,1916,1550,1551
