ID,a_T0,a_Tm,a_c,pEA_T0,pEA_Tm,pEA_c,EFD_T0,EFD_Tm,EFD_c,mu_th_T0,mu_th_Tm,mu_th_c,MDR_T0,MDR_Tm,MDR_c,PDR_T0,PDR_Tm,PDR_c,b_T0,b_Tm,b_c,pMI_T0,pMI_Tm,pMI_c
41,14.82542053,40.03597662,0.000244655,13.52894027,38.17036493,-0.00593408,13.92832213,34.91554079,0.00866225,13.99723433,34.41815708,-0.30773026,10.39733749,39.09621967,7.28E-05,7.272190028,54.14398101,4.13E-05,16.99367062,36.37486971,0.000831668,3.666361451,36.97296694,0.000353417
42,15.23245011,40.03677373,0.000224523,13.50698608,37.74824082,-0.006390263,14.89984445,34.59994912,0.008686536,8.034617204,39.24491379,-0.121269991,12.96699416,39.04388973,8.34E-05,9.517858319,44.65168923,5.84E-05,13.86033176,35.91460097,0.000705152,8.336122321,37.10490781,0.000411397
43,14.43341935,40.0234721,0.000227942,13.07320136,38.49363417,-0.005202357,13.13605354,34.19663518,0.005489572,8.042116608,37.89996119,-0.128426783,12.29118838,39.06531476,8.52E-05,7.336338938,43.4206777,5.57E-05,21.18942602,35.3429771,0.001147559,13.16127769,37.21217446,0.000463598
44,14.85760399,40.02144565,0.000220822,13.6722308,38.12468163,-0.006378383,9.228639825,34.04271025,0.005463781,12.77111418,35.5989368,-0.253765424,11.68311533,39.01516538,7.78E-05,11.37257657,42.68011665,7.35E-05,17.58593113,35.54354458,0.000945433,12.36446677,36.62371982,0.000578196
45,16.75735675,40.03291059,0.000276932,14.3284818,38.08134924,-0.006677298,18.63905291,34.41238158,0.011375442,11.39979103,36.7959644,-0.201499821,10.48962295,39.05089548,7.93E-05,5.188278867,45.16341689,4.92E-05,15.55095263,35.49953106,0.000740148,11.09112114,37.89927598,0.000459999
46,10.89413254,40.06126598,0.000160983,13.97587142,38.61937558,-0.005599055,10.70589069,34.23300461,0.0055358,11.51716867,38.13300685,-0.172472672,6.63987337,39.14647,5.71E-05,8.979644386,43.30552522,6.31E-05,19.20277542,36.01941612,0.001024084,12.4148203,38.40935434,0.000428022
47,15.88603419,40.05166862,0.000244526,12.79042113,38.45888003,-0.005387451,14.76980905,34.35562961,0.007098355,11.9760427,38.21699046,-0.168910744,13.34480066,39.02995137,8.07E-05,12.62277327,45.85474417,7.49E-05,19.9997017,35.78863497,0.000989503,13.40433639,36.15166645,0.000554418
48,11.55658259,40.10379796,0.000181259,13.47722208,38.3104588,-0.006157813,19.50665097,34.34564302,0.014349305,9.04946551,38.27851293,-0.135095494,13.17493269,39.05715936,8.61E-05,11.27130097,44.09956098,6.65E-05,18.39706777,37.30858118,0.000659898,15.7998291,38.20930827,0.000512866
49,7.358680188,40.43926118,0.000124327,13.79386277,38.03041709,-0.005973896,14.42225062,34.3055492,0.008367725,8.16383938,38.00176538,-0.13744482,12.57670659,39.05791602,8.30E-05,10.03453859,57.9641534,4.32E-05,17.33866751,36.22794865,0.00094538,12.27287683,36.87596812,0.000444809
50,15.19092109,40.01436452,0.000232581,13.38773283,38.51480665,-0.005801379,15.71726413,34.232523,0.010030373,8.24780704,39.47569288,-0.117414179,15.49571676,39.8354499,9.11E-05,9.060435451,45.11154777,5.03E-05,16.71700007,35.43995122,0.000924473,16.31981017,37.80187035,0.00055524
51,13.35,40.08,2.02E-04,13.56,38.29,-5.99E-03,14.58,34.61,8.56E-03,9.16,37.73,-1.48E-01,11.36,39.17,7.86E-05,10.68,45.9,6.65E-05,17.05,35.83,8.49E-04,12.22,37.46,4.91E-04
