country,IC,ID,ratio,peak_num.x,outbreaks_obs,peak_date_obs,outbreak_duration_months_obs,outbreak_size_obs,matching_peak_num,peak_months_obs,X_pre,peak_num,outbreaks_pre,peak_date_pre,outbreak_duration_months_pre,outbreak_size_pre,peak_months_pre,residual,max_outbreak,calculation,mean_residual_outbreak_size,mean_residual_outbreak_duration,mean_residual_peak_months,mosquito
Philippines,38,20,2,1,1,2015/9/30,3,3.632975931,2,9,9225,2,2,2015/9/30,2,3.012065101,9,1,5,1,10.58304411,1.75,0.75,aeg
Philippines,38,20,2,2,2,2016/8/31,1,1.689653066,3,8,9226,3,3,2016/9/30,2,2.52863621,9,1,5,1,10.58304411,1.75,0.75,aeg
Philippines,38,20,2,3,3,2018/8/31,1,1.138308029,5,8,9228,5,5,2018/9/30,2,2.299381801,9,1,5,1,10.58304411,1.75,0.75,aeg
Philippines,38,20,2,5,5,2019/7/31,5,12.06644885,6,7,9229,6,6,2019/8/31,3,5.750226787,8,1,5,1,10.58304411,1.75,0.75,aeg
Singapore,1,1,2,1,1,2014/7/31,3,7.061657985,1,7,1,1,1,2014/7/31,5,8.035368196,7,1,3,0,0.627490757,2.666666667,33.33333333,aeg
Singapore,1,1,2,2,2,2016/1/31,2,4.047341982,2,1,2,2,2,2015/11/30,4,4.983315726,11,1,3,0,0.627490757,2.666666667,33.33333333,aeg
Singapore,1,1,2,3,3,2019/7/31,3,6.063875761,4,7,4,4,4,2019/7/31,3,5.82239316,7,1,3,0,0.627490757,2.666666667,33.33333333,aeg
Sri Lanka,42,48,2,1,1,2017/3/31,1,1.067994672,3,3,12698,3,3,2017/3/31,1,1.254834489,3,4,3,0,12.99270851,1.666666667,1.666666667,alb
Sri Lanka,42,48,2,2,2,2017/7/31,4,12.00864494,4,7,12699,4,4,2017/5/31,2,5.795919908,5,4,3,0,12.99270851,1.666666667,1.666666667,alb
Sri Lanka,42,48,2,3,3,2019/11/30,2,3.831477426,5,11,12700,5,5,2019/12/31,1,4.419069209,12,4,3,0,12.99270851,1.666666667,1.666666667,alb
Thailand,42,20,2,1,1,2015/11/30,5,11.53576251,2,11,10669,2,2,2015/8/31,4,7.432687231,8,16,3,0,8.377561552,1,3.333333333,aeg
Thailand,42,20,2,2,2,2018/7/31,2,2.300533973,5,7,10672,5,5,2018/7/31,1,1.099699725,7,16,3,0,8.377561552,1,3.333333333,aeg
Thailand,42,20,2,3,3,2019/7/31,4,7.796268867,7,7,10674,7,7,2019/6/30,3,5.177976481,6,16,3,0,8.377561552,1,3.333333333,aeg
Venezuela,29,3,2,1,1,2014/10/31,4,10.46536334,1,10,7585,1,1,2014/3/31,8,11.08138441,3,0,4,0,4.950609788,8.25,75,alb
Venezuela,29,3,2,2,2,2014/12/31,2,4.547562992,2,12,7586,2,2,2015/1/31,5,6.462718576,1,0,4,0,4.950609788,8.25,75,alb
Venezuela,29,3,2,3,3,2015/10/31,2,3.016658236,3,10,7587,3,3,2015/7/31,4,5.666918508,7,0,4,0,4.950609788,8.25,75,alb
Venezuela,29,3,2,4,4,2016/1/31,2,2.572692813,4,1,7588,4,4,2015/12/31,4,5.527562823,12,0,4,0,4.950609788,8.25,75,alb
Vietnam,9,34,2,1,1,2017/9/30,3,4.631470556,5,9,1009,5,5,2017/8/31,3,4.714826508,8,9,2,1,0.006948215,0,1,alb
