country,max_outbreak_obs,max_outbreak_pre,mosquito
Belize,1,6,alb
Bolivia,3,4,aeg
Brazil,3,4,aeg
Cambodia,4,3,aeg
Colombia,5,4,aeg
Costa Rica,2,3,alb
Dominican Republic,2,3,aeg
Ecuador,1,2,alb
El Salvador,3,1,alb
Guatemala,3,3,aeg
Honduras,3,3,aeg
Jamaica,3,3,aeg
Laos,2,2,aeg
Malaysia,6,5,alb
Mexico,2,3,aeg
Nicaragua,2,1,aeg
Panama,5,4,alb
Peru,2,1,alb
Philippines,5,2,aeg
Singapore,3,3,alb
Sri Lanka,3,1,aeg
Thailand,3,6,alb
Venezuela,4,3,aeg
Vietnam,2,4,alb
