country,outbreak_size_obs,outbreak_size_pre,mosquito
Cambodia,5.654421264,10.45019491,aeg
Cambodia,9.726951476,3.820114431,aeg
El Salvador,11.00168358,17.20876479,aeg
Malaysia,1.132716794,18.27955588,aeg
Panama,4.243195504,1.169647097,alb
Philippines,3.632975931,8.967846872,aeg
Philippines,12.06644885,6.284364646,aeg
Singapore,6.063875761,1.086599011,aeg
Sri Lanka,1.067994672,3.256894755,alb
Thailand,11.53576251,8.325453212,aeg
Thailand,7.796268867,2.471310724,aeg
