Year,Month,IR_detrend,Hemisphere,facet
2014,9,-0.708625998,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,10,-0.612348859,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,11,-0.591501946,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,12,-1.156935225,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2015,1,0.781170422,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,2,1.340728763,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,3,1.884761943,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,4,1.846072734,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,5,1.319719987,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,6,0.467759052,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,7,-0.171757151,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,8,-0.497790656,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,9,-0.549389203,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,10,-0.323347868,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,11,0.230007954,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,12,-0.129154378,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,1,1.355091104,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,2,1.843803882,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,3,1.855695152,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,4,1.545641343,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,5,0.692662417,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,6,-0.265232052,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,7,-0.824583,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,8,-1.12807938,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,9,-1.279434904,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,10,-1.088493094,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,11,-2.037230498,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,12,-0.244258592,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2017,1,-0.472663399,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,2,-0.311809332,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,3,-0.118561929,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,4,-0.053887566,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,5,-0.168713994,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,6,-0.530742617,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,7,-0.984502218,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,8,-1.250002902,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,9,-1.37706652,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,10,-1.276433215,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,11,-1.155339771,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,12,-0.933782958,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,1,-0.497849583,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,2,-0.625537578,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,3,-0.26253724,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,4,-0.101808561,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,5,-0.05684487,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,6,-0.531837338,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,7,-0.6884133,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,8,-1.185678574,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,9,-1.227012757,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,10,-0.81141429,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,11,-0.664617373,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,12,-0.273930984,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,1,0.867890726,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,2,1.39340874,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,3,1.824281583,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,4,2.029020563,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,5,2.253219762,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,6,1.504404929,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,7,0.724219936,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,8,0.252461636,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,9,0.054214966,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,10,0.048030543,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,11,0.142580426,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,12,0.472852235,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,1,-0.905711054,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,2,-0.716571066,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,3,-0.161334643,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,4,0.345616491,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,5,0.418005142,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,6,0.577418519,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,7,0.499009395,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,8,-0.240448649,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,9,-1.12016276,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,10,-1.166302723,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,11,-1.475500353,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,12,-1.349148264,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2015,1,-0.432820416,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,2,0.083936452,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,3,1.64453609,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,4,2.593422776,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,5,3.083608068,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,6,2.449644812,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,7,1.412175412,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,8,-0.285274395,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,9,-0.813946595,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,10,-1.11484351,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,11,-1.166737003,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,12,-1.072574769,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,1,0.36794,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,2,0.753516931,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,3,0.725196687,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,4,0.476643292,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,5,0.865775282,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,6,0.865266971,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,7,0.381727622,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,8,-0.27137903,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,9,-0.650751993,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,10,-0.897015016,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,11,-1.032856948,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,12,-1.51504676,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2017,1,-0.242317791,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,2,0.487634162,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,3,1.187910811,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,4,1.385968352,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,5,1.244290163,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,6,0.602686939,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,7,0.047051985,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,8,-0.598551069,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,9,-0.498084713,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,10,-1.197494512,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,11,-1.036912269,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,12,-1.202089511,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,1,-0.337406769,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,2,-0.354925382,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,3,-0.5107703,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,4,-0.630357981,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,5,-0.71152797,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,6,-0.687044814,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,7,-0.589942191,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,8,-1.002082967,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,9,-0.88562334,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,10,-1.046024033,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,11,-1.012940908,Southern Hemisphere,Southern Hemisphere_Negative IOBW
